# ==============================================================================
# = this is a lyndis reference file. Lines that start with '#' like this one are
# = comments, and are ignored by lyndis. lyndis also ignores any blank lines.
# =
# = this file describes information about the base binary, such as its location
# = within the address space, what objects are available, and which regions can
# = be considered "free space".
# =
# = lyndis is very experimental: don't expect the format to be stable.
# ==============================================================================

# define where the binary (ROM) is locacted within the address space
binary 0x08000000 0x02000000

# define which regions are "free space" by default
free 0x0869B668 0x00004998
free 0x087FF0A4 0x00000F5C
free 0x08800000 0x01800000

# all existing objects (symbols)

# generated by elf2ref on 2025-03-22

fun 0x08020B71 ForEachPositionInRange 0x58
fun 0x08020BC9 ListAdjacentTargetUnits 0x34
fun 0x08020BFD ListAdjacentTargetPositions 0x34
fun 0x08020C31 ListTargetPositionsWithinTwoSquares 0x34
fun 0x08020C65 ListTargetUnitsWithinSubjectMagRange 0x50
fun 0x08020CB5 EnlistAttackObstacleTargets 0x90
fun 0x08020D45 TryEnlistAttackUnitTarget 0x38
fun 0x08020D7D ListAttackTargetsForWeapon 0x68
fun 0x08020DE5 TryEnlistTradeUnitTarget 0x78
fun 0x08020E5D ListTradeTargets 0x74
fun 0x08020ED1 TryEnlistRescueUnitTarget 0x60
fun 0x08020F31 ListRescueTargets 0x34
fun 0x08020F65 TryEnlistRescueDropPositionTarget 0x58
fun 0x08020FBD ListRescueDropTargets 0x34
fun 0x08020FF1 TryEnlistRescueTakeUnitTarget 0x58
fun 0x08021049 ListRescueTakeTargets 0x34
fun 0x0802107D TryEnlistRescueGiveUnitTarget 0x6C
fun 0x080210E9 ListRescueGiveTargets 0x34
fun 0x0802111D TryEnlistTalkUnitTarget 0x48
fun 0x08021165 ListTalkTargets 0x34
fun 0x08021199 ListSupportTargets 0xA8
fun 0x08021241 func_fe6_08021240 0x38
fun 0x08021279 func_fe6_08021278 0x68
fun 0x080212E1 TryEnlistDoorPositionTarget 0x40
fun 0x08021321 TryEnlistBridgePositionTarget 0x40
fun 0x08021361 ListOpenTerrainTargets 0x50
fun 0x080213B1 ListTerrainHealingTargets 0xD0
fun 0x08021481 ListPoisonDamageTargets 0x74
fun 0x080214F5 TryEnlistRefreshUnitTarget 0x44
fun 0x08021539 ListRefreshTargets 0x34
fun 0x0802156D TryEnlistStealUnitTarget 0x44
fun 0x080215B1 ListStealTargets 0x34
fun 0x080215E5 TryEnlistHealUnitTarget 0x54
fun 0x08021639 ListAdjacentHealTargets 0x34
fun 0x0802166D ListRangedHealTargets 0x4C
fun 0x080216B9 TryEnlistRestoreUnitTarget 0x50
fun 0x08021709 ListRestoreTargets 0x34
fun 0x0802173D TryEnlistBarrierUnitTarget 0x50
fun 0x0802178D ListBarrierTargets 0x34
fun 0x080217C1 TryEnlistRescueStaffUnitTarget 0x38
fun 0x080217F9 ListRescueStaffTargets 0x28
fun 0x08021821 TryEnlistSilenceUnitTarget 0x4C
fun 0x0802186D TryEnlistSleepUnitTarget 0x4C
fun 0x080218B9 TryEnlistBerserkUnitTarget 0x4C
fun 0x08021905 ListSilenceTargets 0x28
fun 0x0802192D ListSleepTargets 0x28
fun 0x08021955 ListBerserkTargets 0x28
fun 0x0802197D TryEnlistWarpUnitTarget 0x38
fun 0x080219B5 ListWarpTargets 0x34
fun 0x080219E9 ListUnlockTargets 0x34
fun 0x08021A1D TryEnlistRepairUnitTarget 0x58
fun 0x08021A75 ListRepairTargets 0x34
fun 0x08021AA9 ListSaintsStaffTargets 0x88
fun 0x08021B31 func_fe6_08021B30 0x58
fun 0x08021B89 func_fe6_08021B88 0x10
fun 0x08021B99 ApplyUnitSpritePalettes 0x38
fun 0x08021BD1 ResetUnitSprites 0x34
fun 0x08021C05 ResetUnitSpritesB 0x34
fun 0x08021C39 UseUnitSprite 0xD0
fun 0x08021D09 ApplyUnitSpriteImage16x16 0x94
fun 0x08021D9D ApplyUnitSpriteImage16x32 0xF0
fun 0x08021E8D ApplyUnitSpriteImage32x32 0xF4
fun 0x08021F81 SyncUnitSpriteSheet 0x68
fun 0x08021FE9 ForceSyncUnitSpriteSheet 0x60
fun 0x08022049 GetUnitDisplayedSpritePalette 0x1C
fun 0x08022065 GetUnitSpritePalette 0x30
fun 0x08022095 RefreshUnitSprites 0x158
fun 0x080221ED AddUnitSprite 0x38
fun 0x08022225 PutUnitSpritesOam 0x154
fun 0x08022379 PutUnitSpriteIconsOam 0x2A0
fun 0x08022619 func_fe6_08022618 0x10
fun 0x08022629 ResetUnitSpritHover 0x0C
fun 0x08022635 UnitSpriteHoverUpdate 0xF0
fun 0x08022725 IsUnitSpriteHoverEnabledAt 0x50
fun 0x08022775 PutUnitSprite 0xE8
fun 0x0802285D PutUnitSpriteExt 0xE4
fun 0x08022941 PutBlendWindowUnitSprite 0xEC
fun 0x08022A2D func_fe6_08022A2C 0x0C
fun 0x08022A39 HideUnitSprite 0x24
fun 0x08022A5D ShowUnitSprite 0x10
fun 0x08022A6D GetUnitSpriteHiddenFlag 0x18
fun 0x08022A85 GetUnitSupportCount 0x10
fun 0x08022A95 GetUnitSupportPid 0x14
fun 0x08022AA9 GetUnitSupportUnit 0x48
fun 0x08022AF1 GetUnitSupportLevel 0x24
fun 0x08022B15 GetUnitTotalSupportLevel 0x2C
fun 0x08022B41 UnitGainSupportExp 0x4C
fun 0x08022B8D UnitGainSupportLevel 0x18
fun 0x08022BA5 CanUnitSupportNow 0x6C
fun 0x08022C11 GetUnitInitialSupportExp 0x18
fun 0x08022C29 GetUnitSupportNumByPid 0x38
fun 0x08022C61 ClearUnitSupports 0x54
fun 0x08022CB5 DoTurnSupportExp 0x100
fun 0x08022DB5 GetAffinityBonuses 0x20
fun 0x08022DD5 ApplyAffinityBonuses 0x58
fun 0x08022E2D InitBonuses 0x10
fun 0x08022E3D GetUnitSupportBonuses 0x108
fun 0x08022F45 GetUnitAffinityIcon 0x14
fun 0x08022F59 GetAffinityIconByPid 0x18
fun 0x08022F71 GetSupportLevelSpecialChar 0x24
fun 0x08022F95 GetAffinityName 0x28
fun 0x08022FBD CanUnitUseItem 0x2BC
fun 0x08023279 GetUnitItemCantUseMsg 0x214
fun 0x0802348D DoUseUnitItem 0x194
fun 0x08023621 HasSelectTarget 0x14
fun 0x08023635 CanUnitUseHealItem 0x20
fun 0x08023655 CanUnitUseBindingBladeToHeal 0x24
fun 0x08023679 CanUnitUsePureWaterItem 0x14
fun 0x0802368D CanUnitUseTorchItem 0x24
fun 0x080236B1 CanUnitUseAntitoxinItem 0x14
fun 0x080236C5 CanUnitUseChestKeyItem 0x3C
fun 0x08023701 CanUnitUseDoorKeyItem 0x14
fun 0x08023715 CanUnitUseBridgeKeyItem 0x14
fun 0x08023729 CanUnitUseLockpickItem 0x48
fun 0x08023771 CanUnitUsePromotionItem 0x84
fun 0x080237F5 CanUnitUseStatGainItem 0xD4
fun 0x080238C9 SetStaffUseAction 0x28
fun 0x080238F1 SetItemUseAction 0x0C
fun 0x080238FD StaffMapSelect_Select 0x18
fun 0x08023915 DoUseRescueStaff 0x40
fun 0x08023955 WarpSelect_Init 0xB4
fun 0x08023A09 WarpSelect_Loop 0x12C
fun 0x08023B35 WarpSelect_HandleConfirm 0x3C
fun 0x08023B71 WarpSelect_HandleCancel 0x34
fun 0x08023BA5 WarpSelect_End 0x14
fun 0x08023BB9 WarpMapSelect_Select 0x28
fun 0x08023BE1 DoUseWarpStaff 0x54
fun 0x08023C35 UnlockMapSelect_Select 0x1C
fun 0x08023C51 DoUseUnlockStaff 0x54
fun 0x08023CA5 RepairMapSelect_Select 0x58
fun 0x08023CFD DoUseRepairStaff 0x50
fun 0x08023D4D RepairMapSelect_SwitchIn 0x24
fun 0x08023D71 RepairMapSelect_Init 0x0C
fun 0x08023D7D RepairItemMenu_Entry_SwitchIn 0x10
fun 0x08023D8D RepairItemMenu_Entry_SwitchOut 0x04
fun 0x08023D91 RepairItemMenu_Entry_Available 0x38
fun 0x08023DC9 RepairItemMenu_Entry_Display 0x5C
fun 0x08023E25 RepairItemMenu_Entry_Select 0xAC
fun 0x08023ED1 DoUseHealStaff 0x3C
fun 0x08023F0D DoUseRestoreStaff 0x3C
fun 0x08023F49 RestoreMapSelect_Init 0x0C
fun 0x08023F55 RestoreMapSelect_SwitchIn 0x24
fun 0x08023F79 DoUseBarrierStaff 0x3C
fun 0x08023FB5 BarrierMapSelect_Init 0x0C
fun 0x08023FC1 BarrierMapSelect_SwitchIn 0x24
fun 0x08023FE5 DoUseAttackStaff 0x3C
fun 0x08024021 AttackStaffMapSelect_Init 0x0C
fun 0x0802402D AttackStaffMapSelect_SwitchIn 0x40
fun 0x0802406D SubtitleMapSelect_End 0x10
fun 0x0802407D BattleGenerateSimulationInternal 0xC8
fun 0x08024145 BattleGenerateRealInternal 0xE0
fun 0x08024225 BattleApplyGameStateUpdates 0x24
fun 0x08024249 BattleGenerateSimulation 0x38
fun 0x08024281 BattleGenerateReal 0x14
fun 0x08024295 BattleGenerateBallistaSimulation 0x20
fun 0x080242B5 BattleGenerateBallistaReal 0x14
fun 0x080242C9 BattleGenerate 0x44
fun 0x0802430D BattleGenerateDisplayStats 0x94
fun 0x080243A1 BattleRandRoll 0x2C
fun 0x080243CD BattleRandRoll2Rn 0x2C
fun 0x080243F9 InitBattleUnit 0xE4
fun 0x080244DD InitBattleUnitWithoutBonuses 0x38
fun 0x08024515 SetBattleUnitTerrainBonuses 0x38
fun 0x0802454D SetBattleUnitTerrainBonusesAuto 0x54
fun 0x080245A1 SetBattleUnitWeapon 0x1A8
fun 0x08024749 SetBattleUnitWeaponBallista 0x44
fun 0x0802478D func_fe6_0802478C 0x04
fun 0x08024791 ComputeBattleUnitStats 0x40
fun 0x080247D1 ComputeBattleUnitEffectiveStats 0x20
fun 0x080247F1 ComputeBattleUnitSupportBonuses 0x54
fun 0x08024845 ComputeBattleUnitDefense 0x40
fun 0x08024885 ComputeBattleUnitBaseDefense 0x18
fun 0x0802489D ComputeBattleUnitAttack 0x4C
fun 0x080248E9 ComputeBattleUnitSpeed 0x38
fun 0x08024921 ComputeBattleUnitHitRate 0x38
fun 0x08024959 ComputeBattleUnitAvoidRate 0x30
fun 0x08024989 ComputeBattleUnitCritRate 0x3C
fun 0x080249C5 ComputeBattleUnitDodgeRate 0x0C
fun 0x080249D1 ComputeBattleUnitEffectiveHitRate 0x2C
fun 0x080249FD ComputeBattleUnitEffectiveCritRate 0x20
fun 0x08024A1D ComputeBattleUnitSpecialWeaponStats 0x6C
fun 0x08024A89 ClearBattleHits 0x2C
fun 0x08024AB5 BattleUnwind 0x78
fun 0x08024B2D BattleGetBattleUnitOrder 0x14
fun 0x08024B41 BattleGetFollowUpOrder 0x7C
fun 0x08024BBD BattleGenerateRoundHits 0x5C
fun 0x08024C19 GetBattleUnitHitCount 0x14
fun 0x08024C2D BattleCheckBraveEffect 0x24
fun 0x08024C51 BattleCheckTriangleAttack 0xE8
fun 0x08024D39 BattleUpdateBattleStats 0x28
fun 0x08024D61 BattleGenerateHitAttributes 0x90
fun 0x08024DF1 BattleGenerateHitTriangleAttack 0x78
fun 0x08024E69 BattleGenerateHitEffects 0x140
fun 0x08024FA9 BattleGenerateHit 0x94
fun 0x0802503D BattleApplyExpGains 0x74
fun 0x080250B1 GetStatIncrease 0x24
fun 0x080250D5 GetAutoleveledStatIncrease 0x30
fun 0x08025105 CheckBattleUnitLevelUp 0x198
fun 0x0802529D UnitPromote 0xC4
fun 0x08025361 GenerateBattleUnitStatGainsComparatively 0x6C
fun 0x080253CD CheckBattleUnitStatCaps 0x100
fun 0x080254CD BattleApplyUnitUpdates 0x88
fun 0x08025555 GetBattleUnitUpdatedWeaponExp 0xB4
fun 0x08025609 HasBattleUnitGainedWeaponLevel 0x3C
fun 0x08025645 UpdateUnitFromBattle 0xD8
fun 0x0802571D UpdateUnitDuringBattle 0x2C
fun 0x08025749 BattleApplyBallistaUpdates 0x38
fun 0x08025781 func_fe6_08025780 0x10
fun 0x08025791 GetUnitExpLevel 0x20
fun 0x080257B1 GetUnitRoundExp 0x30
fun 0x080257E1 GetUnitPowerLevel 0x3C
fun 0x0802581D GetUnitClassKillExpBonus 0x28
fun 0x08025845 GetUnitKillExpBonus 0x3C
fun 0x08025881 GetBattleUnitExpGain 0x68
fun 0x080258E9 BattleApplyItemExpGains 0x58
fun 0x08025941 GetBattleUnitStaffExp 0x60
fun 0x080259A1 BattleApplyMiscActionExpGains 0x44
fun 0x080259E5 BattleUnitTargetSetEquippedWeapon 0x54
fun 0x08025A39 BattleUnitTargetCheckCanCounter 0x28
fun 0x08025A61 BattleApplyReaverEffect 0x30
fun 0x08025A91 BattleApplyWeaponTriangleEffect 0x8C
fun 0x08025B1D BattleInitTargetCanCounter 0x6C
fun 0x08025B89 InitObstacleBattleUnit 0x50
fun 0x08025BD9 ComputeBattleObstacleStats 0x40
fun 0x08025C19 UpdateObstacleFromBattle 0x64
fun 0x08025C7D BeginBattleAnimations 0x5C
fun 0x08025CD9 GetUnitSoloBattleAnimType 0x24
fun 0x08025CFD GetBattleAnimType 0x5C
fun 0x08025D59 BattlePrintDebugUnitInfo 0x04
fun 0x08025D5D BattlePrintDebugHitInfo 0x20
fun 0x08025D7D BattleInitItemEffect 0xAC
fun 0x08025E29 BattleInitItemEffectTarget 0x70
fun 0x08025E99 DummyBattleAnimLock_UpdateInstigator 0x1C
fun 0x08025EB5 BattleApplyMiscAction 0x1C
fun 0x08025ED1 BattleApplyItemEffect 0x80
fun 0x08025F51 GetOffensiveStaffAccuracy 0x64
fun 0x08025FB5 BattleGenerateArena 0xEC
fun 0x080260A1 BattleIsTriangleAttack 0x10
fun 0x080260B1 DidBattleUnitBreakWeapon 0x1C
fun 0x080260CD BattleHitAdvance 0x10
fun 0x080260DD BattleHitTerminate 0x14
fun 0x080260F1 TradeMenu_InitUnitNameDisplay 0xA4
fun 0x08026195 TradeMenu_HighlightUpdater_Init 0x08
fun 0x0802619D TradeMenu_HighlightUpdater_Loop 0x7C
fun 0x08026219 TradeMenu_GetAdjustedRow 0x3C
fun 0x08026255 TradeMenu_InitItemText 0x34
fun 0x08026289 TradeMenu_RefreshItemText 0xE4
fun 0x0802636D TradeMenu_RefreshSelectableCells 0x5C
fun 0x080263C9 TradeMenu_UpdateSelection 0x13C
fun 0x08026505 TradeMenu_ApplyItemSwap 0x68
fun 0x0802656D TradeMenu_InitItemDisplay 0x7C
fun 0x080265E9 TradeMenu_OnInitUnselected 0x14
fun 0x080265FD TradeMenu_OnLoopUnselected 0xA8
fun 0x080266A5 TradeMenu_OnInitSelected 0x68
fun 0x0802670D TradeMenu_OnLoopSelected 0xC4
fun 0x080267D1 TradeMenu_OnEndSelected 0x50
fun 0x08026821 TradeMenu_LoadForcedInitialHover 0x4C
fun 0x0802686D TradeMenu_ClearDisplay 0x14
fun 0x08026881 TradeMenu_HelpBox_OnInit 0xA8
fun 0x08026929 TradeMenu_HelpBox_OnLoop 0xD4
fun 0x080269FD TradeMenu_HelpBox_OnEnd 0x90
fun 0x08026A8D StartTradeMenu 0x3C
fun 0x08026AC9 InitTraps 0x18
fun 0x08026AE1 GetTrapAt 0x28
fun 0x08026B09 AddTrap 0x28
fun 0x08026B31 AddTimedTrap 0x1C
fun 0x08026B4D AddFireTrap 0x1C
fun 0x08026B69 AddGasTrap 0x20
fun 0x08026B89 AddArrowTrap 0x1C
fun 0x08026BA5 AddTimedMapChange 0x1C
fun 0x08026BC1 AddStepFireTrap 0x10
fun 0x08026BD1 AddStepPikeTrap 0x10
fun 0x08026BE1 InitMapTraps 0xC0
fun 0x08026CA1 ApplyEnabledMapChanges 0x40
fun 0x08026CE1 GetBallistaTrapAt 0x40
fun 0x08026D21 GetBallistaItemAt 0x68
fun 0x08026D89 GetDummyBallistaItemAt 0x40
fun 0x08026DC9 GetObstacleHpAt 0x50
fun 0x08026E19 GetMapChange 0x3C
fun 0x08026E55 GetMapChangeIdAt 0x5C
fun 0x08026EB1 ApplyMapChange 0x6C
fun 0x08026F1D AddMapChangeTrap 0x14
fun 0x08026F31 UnitHideIfUnderRoof 0x2C
fun 0x08026F5D UpdateRoofedUnits 0x68
fun 0x08026FC5 EnlistFireTrapTargets 0x30
fun 0x08026FF5 EnlistArrowTrapTargets 0x44
fun 0x08027039 EnlistGasTrapTargets 0x80
fun 0x080270B9 ListDamagingTrapTargets 0x6C
fun 0x08027125 ListDamagingTrapTargetsForDisplay 0xD8
fun 0x080271FD UpdateTraps_CountDownTraps 0x24
fun 0x08027221 UpdateTraps_ResetCountedDownTraps 0x28
fun 0x08027249 UpdateTraps_08027248 0x1C
fun 0x08027265 UpdateTraps_08027264 0x0C
fun 0x08027271 StepPikeTrap_StartAnim 0x34
fun 0x080272A5 StepFireTrap_StartAnim 0x1C
fun 0x080272C1 StepPikeTrap_ApplyDamage 0x34
fun 0x080272F5 StepFireTrap_ApplyDamage 0x24
fun 0x08027319 StepFireTrap_08027318 0x24
fun 0x0802733D StepPikeTrap_08027318 0x2C
fun 0x08027369 StepTrap_End 0x54
fun 0x080273BD DoHandleStepTraps 0xE0
fun 0x0802749D GetTrap 0x0C
fun 0x080274A9 DoItemHealStaffAction 0x88
fun 0x08027531 DoItemRestoreStaffAction 0x3C
fun 0x0802756D DoItemBarrierStaffAction 0x44
fun 0x080275B1 GetRescueStaffTargetPosition 0x220
fun 0x080277D1 DoItemRescueStaffAction 0x78
fun 0x08027849 DoItemWarpStaffAction 0x58
fun 0x080278A1 DoItemAttackStaffAction 0xB0
fun 0x08027951 DoItemFortifyStaffAction 0x78
fun 0x080279C9 DoItemUnlockStaffAction 0x40
fun 0x08027A09 DoItemRepairStaffAction 0x58
fun 0x08027A61 DoItemSaintStaffAction 0x68
fun 0x08027AC9 DoItemHealSelfAction 0x64
fun 0x08027B2D DoItemElixirAction 0x6C
fun 0x08027B99 DoItemPureWaterAction 0x3C
fun 0x08027BD5 DoItemTorchAction 0x3C
fun 0x08027C11 DoItemAntitoxinAction 0x40
fun 0x08027C51 DoItemKeyAction 0x7C
fun 0x08027CCD DoItemPromoteAction 0xE8
fun 0x08027DB5 func_fe6_08027DB4 0x98
fun 0x08027E4D DoItemStatBoostAction 0x14C
fun 0x08027F99 DoItemAction 0x2A0
fun 0x08028239 ApplyStatusChange 0x34
fun 0x0802826D BmVSync_TsImgAnim 0x48
fun 0x080282B5 BmVSync_TsPalAnim 0x50
fun 0x08028305 BmVSync_AnimInit 0x44
fun 0x08028349 BmVSync_End 0x0C
fun 0x08028355 BmVSync_Repeat 0x0C
fun 0x08028361 StartBmVSync 0x24
fun 0x08028385 EndBmVSync 0x10
fun 0x08028395 LockBmDisplay 0x34
fun 0x080283C9 UnlockBmDisplay 0x34
fun 0x080283FD AllocWeatherParticles 0x4C
fun 0x08028449 WeatherInit_None 0x18
fun 0x08028461 WeatherInit_Snow 0x78
fun 0x080284D9 WeatherVBlank_Snow 0xC0
fun 0x08028599 WeatherInit_Rain 0x64
fun 0x080285FD WeatherVBlank_Rain 0x80
fun 0x0802867D WeatherInit_Sandstorm 0x70
fun 0x080286ED WeatherVBlank_Sandstorm 0x5C
fun 0x08028749 WeatherInit_Snowstorm 0xBC
fun 0x08028805 WeatherVBlank_Snowstorm 0x78
fun 0x0802887D BlueWeatherHBlank 0x54
fun 0x080288D1 WeatherInit_Blue 0x44
fun 0x08028915 WeatherVBlank_Blue 0x04
fun 0x08028919 FlamesWeatherHBlank 0x44
fun 0x0802895D ApplyFlamesWeatherGradient 0x80
fun 0x080289DD FlamesWeatherInitGradient 0x90
fun 0x08028A6D FlamesWeatherInitParticles 0x64
fun 0x08028AD1 WeatherInit_Flames 0x10
fun 0x08028AE1 FlamesWeatherUpdateGradient 0x6C
fun 0x08028B4D FlamesWeatherUpdateParticles 0x98
fun 0x08028BE5 WeatherVBlank_Flames 0x10
fun 0x08028BF5 CloudWeatherAnimateImage 0x68
fun 0x08028C5D WeatherInit_Clouds 0x2C
fun 0x08028C89 WeatherVBlank_Clouds 0x7C
fun 0x08028D05 WeatherUpdate_Clouds 0x34
fun 0x08028D39 WeatherInit 0x70
fun 0x08028DA9 WeatherVBlank 0x68
fun 0x08028E11 WeatherUpdate 0x18
fun 0x08028E29 DisableTilesetPalAnim 0x1C
fun 0x08028E45 EnableTilesetPalAnim 0x3C
fun 0x08028E81 SetWeather 0x18
fun 0x08028E99 GetTextPrintDelay 0x28
fun 0x08028EC1 IsFirstPlaythrough 0x30
fun 0x08028EF1 InitPlayConfig 0xA4
fun 0x08028F95 ResetBmSt 0x2C
fun 0x08028FC1 StartChapter 0xC4
fun 0x08029085 func_fe6_08029084 0xA4
fun 0x08029129 ResumeChapterFromSuspend 0x118
fun 0x08029241 func_fe6_08029240 0x78
fun 0x080292B9 func_fe6_080292B8 0x24
fun 0x080292DD InitBmDisplay 0x3C
fun 0x08029319 StartMapMain 0x34
fun 0x0802934D EndMapMain 0x24
fun 0x08029371 CleanupUnitsBeforeChapter 0x134
fun 0x080294A5 ResumeMapMainDuringPhase 0x3C
fun 0x080294E1 ResumeMapMainDuringAction 0x80
fun 0x08029561 ResumeMapMainDuringBerserk 0x3C
fun 0x0802959D ResumeMapMainDuringArena 0x7C
fun 0x08029619 ResumeMapMainDuringPhaseChange 0x3C
fun 0x08029655 func_fe6_08029654 0x30
fun 0x08029685 GetSupplyItems 0x08
fun 0x0802968D ClearSupplyItems 0x24
fun 0x080296B1 SquashSupplyItems 0x44
fun 0x080296F5 CountSupplyItems 0x20
fun 0x08029715 AddSupplyItem 0x38
fun 0x0802974D RemoveSupplyItem 0x18
fun 0x08029765 FindSupplyItem 0x38
fun 0x0802979D UnitRearrangeInit 0x1C
fun 0x080297B9 UnitRearrangeAdd 0x34
fun 0x080297ED UnitRearrangeApply 0x40
fun 0x0802982D UnitRearrangeApply2 0x40
fun 0x0802986D ArenaBeginInternal 0xB8
fun 0x08029925 ArenaBegin 0x1C
fun 0x08029941 ArenaResume 0x24
fun 0x08029965 ArenaGetUnitWeaponKind 0x2C
fun 0x08029991 ArenaGetJobWeaponKind 0x2C
fun 0x080299BD ArenaGenOpposingJid 0xCC
fun 0x08029A89 ArenaIsMagicWeaponKind 0x18
fun 0x08029AA1 ArenaGetOpposingLevel 0x1C
fun 0x08029ABD ArenaGetPowerRanking 0x70
fun 0x08029B2D ArenaGenOpponentUnit 0xD0
fun 0x08029BFD ArenaGenBaseWeapons 0x50
fun 0x08029C4D ArenaGetUpgradedWeapon 0x50
fun 0x08029C9D ArenaAdjustOpponentDamage 0x148
fun 0x08029DE5 ArenaAdjustOpponentPowerRanking 0x150
fun 0x08029F35 ArenaGenMatchupGoldValue 0x28
fun 0x08029F5D ArenaGetMatchupGoldValue 0x0C
fun 0x08029F69 ArenaGetResult 0x0C
fun 0x08029F75 ArenaSetResult 0x0C
fun 0x08029F81 ArenaContinueBattle 0x60
fun 0x08029FE1 ArenaIsUnitAllowed 0x28
fun 0x0802A009 SaveActionRand 0x10
fun 0x0802A019 RestoreActionRand 0x10
fun 0x0802A029 DoAction 0x110
fun 0x0802A139 DoRescueAction 0x50
fun 0x0802A189 DoRescueDropAction 0x80
fun 0x0802A209 DoVisitAction 0x2C
fun 0x0802A235 func_fe6_0802A234 0x40
fun 0x0802A275 func_fe6_0802A274 0x4C
fun 0x0802A2C1 func_fe6_0802A2C0 0x4C
fun 0x0802A30D DoCombatAction 0x50
fun 0x0802A35D func_fe6_0802A35C 0x14
fun 0x0802A371 DoRefreshAction 0x50
fun 0x0802A3C1 DoTalkAction 0x2C
fun 0x0802A3ED DoSupportAction 0xA8
fun 0x0802A495 DoStealAction 0x80
fun 0x0802A515 DeathDropSpriteAnim_Loop 0xA8
fun 0x0802A5BD DeathDropSpriteAnim_End 0x10
fun 0x0802A5CD DropRescueOnDeath 0xC0
fun 0x0802A68D KillUnitOnCombatDeath 0x28
fun 0x0802A6B5 KillUnitOnArenaDeath 0x24
fun 0x0802A6D9 CombatAction_MaybeSkipPostBanimDeathFades 0x40
fun 0x0802A719 CombatAction_PostBanimDeathFades 0x80
fun 0x0802A799 CombatAction_PostBanimDeathFadesEnd 0x0C
fun 0x0802A7A5 CombatAction_DoHandleDeaths 0x50
fun 0x0802A7F5 func_fe6_0802A7F4 0x20
fun 0x0802A815 ArenaAction_MaybeSkipDeathFades 0x2C
fun 0x0802A841 ArenaAction_DoHandleDeaths 0x20
fun 0x0802A861 SetMovePathLastCursorPosition 0x14
fun 0x0802A875 CutMovePath 0xA4
fun 0x0802A919 AddMovePathSquare 0x84
fun 0x0802A99D FindMovePathSquare 0x70
fun 0x0802AA0D GenMovePathFromMoveScript 0x100
fun 0x0802AB0D GenMoveScriptFromMovePath 0xA4
fun 0x0802ABB1 MovePathFloodFromTail 0x44
fun 0x0802ABF5 RebuildMovePath 0x2C
fun 0x0802AC21 MovePathIsValid 0x7C
fun 0x0802AC9D InitMovePath 0x8C
fun 0x0802AD29 UpdateMovePath 0x1B8
fun 0x0802AEE1 GetMovePathDirFrom 0x64
fun 0x0802AF45 GetMovePathDirTo 0x70
fun 0x0802AFB5 ShouldDrawMovePathBitAt 0x44
fun 0x0802AFF9 DrawMovePath 0xBC
fun 0x0802B0B5 RefreshMovePath 0x10
fun 0x0802B0C5 PrepPhase_RightInitCamera 0x38
fun 0x0802B0FD PrepPhase_DownInitCamera 0x1C
fun 0x0802B119 PrepPhase_LeftInitCamera 0x20
fun 0x0802B139 PrepPhase_UpInitCamera 0x1C
fun 0x0802B155 PrepPhase_InitCameraLoop 0x80
fun 0x0802B1D5 PrepPhase_Init 0x60
fun 0x0802B235 PrepPhase_WatchRoy 0x3C
fun 0x0802B271 PrepPhase_MapIdle 0x20C
fun 0x0802B47D PrepMapMenuConfirm 0x24
fun 0x0802B4A1 PrepPhase_MapSwapSelectBegin 0xCC
fun 0x0802B56D PrepPhase_MapSwapSelectIdle 0x130
fun 0x0802B69D PrepPhase_MapSwapSelectCancel 0x30
fun 0x0802B6CD PrepPhase_MapSwapSelectApply 0x84
fun 0x0802B751 PrepPhase_MapSwapSelectFogFadeA 0x18
fun 0x0802B769 PrepPhase_MapSwapSelectFogFadeB 0x1C
fun 0x0802B785 func_fe6_0802B784 0x60
fun 0x0802B7E5 func_fe6_0802B7E4 0x30
fun 0x0802B815 func_fe6_0802B814 0x8C
fun 0x0802B8A1 func_fe6_0802B8A0 0x88
fun 0x0802B929 func_fe6_0802B928 0x3C
fun 0x0802B965 func_fe6_0802B964 0x1C
fun 0x0802B981 func_fe6_0802B980 0x1C
fun 0x0802B99D func_fe6_0802B99C 0x40
fun 0x0802B9DD func_fe6_0802B9DC 0x2C
fun 0x0802BA09 func_fe6_0802BA08 0x3C
fun 0x0802BA45 func_fe6_0802BA44 0xC8
fun 0x0802BB0D GetChapterInfo 0x24
fun 0x0802BB31 GetChapterMap 0x44
fun 0x0802BB75 GetChapterMapChanges 0x2C
fun 0x0802BBA1 GetChapterEventInfo 0x30
fun 0x0802BBD1 GetChapterUnk_0802BBD0 0x24
fun 0x0802BBF5 UnitPanel_OnLoop 0x8C
fun 0x0802BC81 StartUnitPanel 0x2C
fun 0x0802BCAD InitUnitPanelSpriteTextPositions 0x48
fun 0x0802BCF5 InitUnitPanel 0x130
fun 0x0802BE25 GetUnitPanelXForUnit 0x28
fun 0x0802BE4D DrawUnitHpText 0x54
fun 0x0802BEA1 DrawUnitConText 0x40
fun 0x0802BEE1 DrawUnitAidText 0x34
fun 0x0802BF15 PutUnitAidIconForTextAt 0x34
fun 0x0802BF49 DrawUnitStatusText 0x34
fun 0x0802BF7D DrawUnitResChangeText 0x58
fun 0x0802BFD5 DrawUnitResUnkText 0x34
fun 0x0802C009 DrawAccuracyText 0x2C
fun 0x0802C035 StartUnitInventoryPanel 0x24
fun 0x0802C059 RefreshUnitInventoryPanel 0x108
